name,partyName,state,chamber,congress,last_name
"Eshoo, Anna G.",Democratic,California,House of Representatives,115,Eshoo
"Duncan, Jeff",Republican,South Carolina,House of Representatives,115,Duncan
"Cárdenas, Tony",Democratic,California,House of Representatives,115,Cárdenas
"Cartwright, Matt",Democratic,Pennsylvania,House of Representatives,115,Cartwright
"Bucshon, Larry",Republican,Indiana,House of Representatives,115,Bucshon
"Burgess, Michael C.",Republican,Texas,House of Representatives,115,Burgess
"Blumenauer, Earl",Democratic,Oregon,House of Representatives,115,Blumenauer
"Casey, Robert P., Jr.",Democratic,Pennsylvania,Senate,115,Casey
"Tester, Jon",Democratic,Montana,Senate,115,Tester
"Sinema, Kyrsten",Independent,Arizona,House of Representatives,115,Sinema
"Stabenow, Debbie",Democratic,Michigan,House of Representatives,115,Stabenow
"Manchin, Joe, III",Independent,West Virginia,Senate,115,Manchin
"Carper, Thomas R.",Democratic,Delaware,House of Representatives,115,Carper
"Cardin, Benjamin L.",Democratic,Maryland,House of Representatives,115,Cardin
"Brown, Sherrod",Democratic,Ohio,House of Representatives,115,Brown
"González-Colón, Jenniffer",Republican,Puerto Rico,House of Representatives,115,González-Colón
"Sasse, Ben",Republican,Nebraska,Senate,115,Sasse
"Buck, Ken",Republican,Colorado,House of Representatives,115,Buck
"Stewart, Chris",Republican,Utah,House of Representatives,115,Stewart
"Payne, Donald M.",Democratic,New Jersey,House of Representatives,115,Payne
"Feinstein, Dianne",Democratic,California,Senate,115,Feinstein
"Jackson Lee, Sheila",Democratic,Texas,House of Representatives,115,Jackson Lee
"Inhofe, James M.",Republican,Oklahoma,House of Representatives,115,Inhofe
"McEachin, A. Donald",Democratic,Virginia,House of Representatives,115,McEachin
"Johnson, Eddie Bernice",Democratic,Texas,House of Representatives,115,Johnson
"Lamb, Conor",Democratic,Pennsylvania,House of Representatives,115,Lamb
"Cheney, Liz",Republican,Wyoming,House of Representatives,115,Cheney
"Brown, Anthony G.",Democratic,Maryland,House of Representatives,115,Brown
"Hollingsworth, Trey",Republican,Indiana,House of Representatives,115,Hollingsworth
"Demings, Val Butler",Democratic,Florida,House of Representatives,115,Demings
"Murphy, Stephanie N.",Democratic,Florida,House of Representatives,115,Murphy
"Lawson, Al, Jr.",Democratic,Florida,House of Representatives,115,Lawson
"O'Halleran, Tom",Democratic,Arizona,House of Representatives,115,O'Halleran
"Katko, John",Republican,New York,House of Representatives,115,Katko
"Rice, Kathleen M.",Democratic,New York,House of Representatives,115,Rice
"Zeldin, Lee M.",Republican,New York,House of Representatives,115,Zeldin
"Lawrence, Brenda L.",Democratic,Michigan,House of Representatives,115,Lawrence
"Hice, Jody B.",Republican,Georgia,House of Representatives,115,Hice
"Rice, Tom",Republican,South Carolina,House of Representatives,115,Rice
"Maloney, Sean Patrick",Democratic,New York,House of Representatives,115,Maloney
"Walorski, Jackie",Republican,Indiana,House of Representatives,115,Walorski
"Bustos, Cheri",Democratic,Illinois,House of Representatives,115,Bustos
"Davis, Rodney",Republican,Illinois,House of Representatives,115,Davis
"Lowenthal, Alan S.",Democratic,California,House of Representatives,115,Lowenthal
"Speier, Jackie",Democratic,California,House of Representatives,115,Speier
"Sires, Albio",Democratic,New Jersey,House of Representatives,115,Sires
"Reed, Tom",Republican,New York,House of Representatives,115,Reed
"McKinley, David B.",Republican,West Virginia,House of Representatives,115,McKinley
"Herrera Beutler, Jaime",Republican,Washington,House of Representatives,115,Herrera Beutler
"Gibbs, Bob",Republican,Ohio,House of Representatives,115,Gibbs
"Palazzo, Steven M.",Republican,Mississippi,House of Representatives,115,Palazzo
"Long, Billy",Republican,Missouri,House of Representatives,115,Long
"Hartzler, Vicky",Republican,Missouri,House of Representatives,115,Hartzler
"Kinzinger, Adam",Republican,Illinois,House of Representatives,115,Kinzinger
"Bass, Karen",Democratic,California,House of Representatives,115,Bass
"Brooks, Mo",Republican,Alabama,House of Representatives,115,Brooks
"Yarmuth, John A.",Democratic,Kentucky,House of Representatives,115,Yarmuth
"Perlmutter, Ed",Democratic,Colorado,House of Representatives,115,Perlmutter
"McNerney, Jerry",Democratic,California,House of Representatives,115,McNerney
"Schrader, Kurt",Democratic,Oregon,House of Representatives,115,Schrader
"Price, David E.",Democratic,North Carolina,House of Representatives,115,Price
"Portman, Rob",Republican,Ohio,House of Representatives,115,Portman
"Toomey, Patrick",Republican,Pennsylvania,House of Representatives,115,Toomey
"Kind, Ron",Democratic,Wisconsin,House of Representatives,115,Kind
"Brady, Kevin",Republican,Texas,House of Representatives,115,Brady
"Blunt, Roy",Republican,Missouri,House of Representatives,115,Blunt
"Young, Don",Republican,Alaska,House of Representatives,115,Young
"Upton, Fred",Republican,Michigan,House of Representatives,115,Upton
"Shelby, Richard C.",Republican,Alabama,House of Representatives,115,Shelby
"Rush, Bobby L.",Democratic,Illinois,House of Representatives,115,Rush
"Roybal-Allard, Lucille",Democratic,California,House of Representatives,115,Roybal-Allard
"Maloney, Carolyn B.",Democratic,New York,House of Representatives,115,Maloney
"Leahy, Patrick J.",Democratic,Vermont,Senate,115,Leahy
"Gohmert, Louie",Republican,Texas,House of Representatives,115,Gohmert
"Butterfield, G. K.",Democratic,North Carolina,House of Representatives,115,Butterfield
"Ryan, Tim",Democratic,Ohio,House of Representatives,115,Ryan
"Langevin, James R.",Democratic,Rhode Island,House of Representatives,115,Langevin
"Cooper, Jim",Democratic,Tennessee,House of Representatives,115,Cooper
"Chabot, Steve",Republican,Ohio,House of Representatives,115,Chabot
"Burr, Richard",Republican,North Carolina,House of Representatives,115,Burr
"Doyle, Michael F.",Democratic,Pennsylvania,House of Representatives,115,Doyle
"DeFazio, Peter A.",Democratic,Oregon,House of Representatives,115,DeFazio
"Crist, Charlie",Democratic,Florida,House of Representatives,115,Crist
"Harris, Kamala D.",Democratic,California,Senate,115,Harris
"Vela, Filemon",Democratic,Texas,House of Representatives,115,Vela
"Deutch, Theodore E.",Democratic,Florida,House of Representatives,115,Deutch
"Stivers, Steve",Republican,Ohio,House of Representatives,115,Stivers
"Richmond, Cedric L.",Democratic,Louisiana,House of Representatives,115,Richmond
"Fudge, Marcia L.",Democratic,Ohio,House of Representatives,115,Fudge
"Fortenberry, Jeff",Republican,Nebraska,House of Representatives,115,Fortenberry
"Nunes, Devin",Republican,California,House of Representatives,115,Nunes
"Hastings, Alcee L.",Democratic,Florida,House of Representatives,115,Hastings
"Jones, Brenda",Democratic,Michigan,House of Representatives,115,Jones
"Jones, Doug",Democratic,Alabama,Senate,115,Jones
"Handel, Karen C.",Republican,Georgia,House of Representatives,115,Handel
"Gianforte, Greg",Republican,Montana,House of Representatives,115,Gianforte
"Strange, Luther",Republican,Alabama,Senate,115,Strange
"Garrett, Thomas A., Jr.",Republican,Virginia,House of Representatives,115,Garrett
"Taylor, Scott",Republican,Virginia,House of Representatives,115,Taylor
